Institution,ChexSystems,Chex_link,EWS,EWS_link,LexisNexis_SageStream,LN_link,Other_secondary,Other_link,Notes
Montecito Bank & Trust,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
Monterey County Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Murphy Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Nano Banc,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Neighborhood National Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"New OMNI Bank, N.A.",UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Novo (fintech),Membership: No — Novo confirmed does NOT use ChexSystems for business accounts | BUSINESS: No — same; no ChexSystems for the business account [2026-06-11],https://novo.zendesk.com/hc/en-us/articles/4640977954964-What-is-Novo,Membership: No (identity-only) | BUSINESS: No [2026-06-11],https://novo.zendesk.com/hc/en-us/articles/4640977954964-What-is-Novo,UNKNOWN,—,UNKNOWN,—,v7 chex_socal_cus. 🏆 GOLD (fintech no-Chex banking layer) — verified-no-Chex.
Nuvision Credit Union,Yes — pulls (DoC list 2025-08-07; member 'unfroze Chex' DP 2025-10-16) [DOC-LIST; 2025-08-07],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. DoC Chex: NuVision FCU does pull (1). CONFIRMS existing cell.
Oak Valley Community Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
OneUnited Bank,Yes — own pages confirm; U2 second-chance available (2026-06-10) [v6 existing cell],—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Existing VERIFIED cell stands.
Open Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Orange County's Credit Union,Pull: Yes [DOC-LIST + COMMUNITY-DP; 2021-05-26],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,Pull: Yes [DOC-LIST + COMMUNITY-DP; 2021-05-26],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1196492,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. NEW vs N/M: Orange County CU on Davis 2021-05-26 list of banks that PULLED his EWS; DoC Chex: does pull (1).
PCB Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
PNC Bank,Yes — mixed DPs (DoC 2025-08-07; Crediful 2025-10-22) [DOC-LIST + COMMUNITY-DP; 2026-05-22],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,Yes — pulls (EWS co-owner; DoC ×5 DPs) [DOC-LIST + COMMUNITY-DP; 2026-05-22],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,UNKNOWN,—,UNKNOWN,—,"v6 ews_chex_mapping. EWS-SENSITIVE: in-branch denial letter citing EWS (Jay 2018-08-10 #628472); Gadget 2022-12-26: 'other than PNC, not many EWS-sensitive banks'. EWS inquiry + reports ACH incl. balance (2026-05-22). Chex sens page: denied 30+/3yr. CONFIRMS project-log 'PNC = EWS-not-Chex' for practical purposes; EWS is the binding constraint."
Pacific Alliance Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Pacific Coast Bankers' Bank (PCBB),UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Pacific Enterprise Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Pacific Premier Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,P2: web-searched 2026-06-12 — no public deposit agreement naming a vendor and no DoC/forum DPs found; all four columns remain UNKNOWN (never guess). v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Pacific Valley Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Partners Bank of California,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Patelco Credit Union,Pull: Yes — SENSITIVE [VERIFIED (vendor adoption) + DOC-LIST; 2004 (adoption); sens DPs later],https://www.americanbanker.com/news/authentication-patelco-chooses-chexsystems-to-combat-id-fraud,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,"v6 ews_chex_mapping. NEW vs N/M: American Banker (2004): Patelco uses ChexSystems ID screening for ALL new accounts (branch + online). Sens page: denied 9/6, 26/6, 29/12 = sensitive."
"Pinnacle Bank (Gilroy, CA)",Pull: UNKNOWN (DoC 'Pinnacle Bank' DPs likely Pinnacle Financial Partners TN) [v6 existing cell],—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. DoC Pinnacle entries ambiguous vs Pinnacle Bank (Gilroy CA) — do not apply.
Plumas Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Poppy Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Preferred Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
Premier America Credit Union,"Yes — pulls + INQUIRY-SENSITIVE: 3 Chex inquiries/90 days = auto-deny (DoC DPs 2025-12-30, 2024-10-05) [DOC-LIST; 2025-12-30 (existing cell DP)]",https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Sens page: Premier America 'denied at escalating thresholds'. CONFIRMS existing 3-inquiries/90-days auto-deny.
Provident Credit Union,Pull: Yes — VERY SENSITIVE [DOC-LIST; fetched 2026-06-10],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,"v6 ews_chex_mapping. NEW vs N/M: DoC Chex: Provident CU does pull (3). Sens page: 'denied at various thresholds; very sensitive'. (Provident CU, Redwood City CA.)"
"Provident Savings Bank, F.S.B.",UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Redwood Capital Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Redwood Credit Union,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
Regions Bank,UNKNOWN,—,UNKNOWN,—,"Yes — ONLINE applications pull LexisNexis (frozen LN file => denial, DP 2022-02-27); in-BRANCH opening did NOT pull [COMMUNITY-DP; 2022-02-27]",https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1339779,UNKNOWN,—,"No CA retail footprint; row included for LexisNexis evidence. DoC commenter Gadget: 'a lot of banks pull LexisNexis, at least with online opening.'"
Relay (fintech),Membership: LIKELY-NO — industry lists Relay among no-ChexSystems fintechs; identity-verification + compliance model; own docs don't cite ChexSystems (not explicitly own-doc confirmed) | BUSINESS: LIKELY-NO — same identity/compliance model for the business account [2026-06-11],https://support.relayfi.com/hc/en-us/articles/14459309934868-Thread-Bank,Membership: Likely-no (identity-only) | BUSINESS: Likely-no [2026-06-11],https://support.relayfi.com/hc/en-us/articles/14459309934868-Thread-Bank,UNKNOWN,—,UNKNOWN,—,v7 chex_socal_cus. 🥈 LIKELY-NO (fintech) — strong industry consensus; own-doc Chex language not located.
River City Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
River Valley Community Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Rize Credit Union,Membership: LIKELY-NO — own open-account page lists ONLY ID+SSN+$5+address (no ChexSystems/QualiFile language); CU offers 'New Beginnings'/Fresh Start second-chance + ChexSystems-rebuild products = forgiving posture | BUSINESS: UNKNOWN — Business Visa Platinum self-issued $5K-$50K variable limit; apply via 'Contact business banking team'; no Chex language on biz page; deposit-screen unconfirmed [2026-06-11 (own pages)],https://rizecu.com/open-an-account/,Membership: UNKNOWN | BUSINESS: UNKNOWN [2026-06-11 (own pages)],https://rizecu.com/open-an-account/,UNKNOWN,—,UNKNOWN,—,"v7 chex_socal_cus. 🥈 LIKELY-NO — second-chance CU, no Chex language on own pages; NEW TARGET worth a call."
Royal Business Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
SAFE Credit Union,Pull: Yes — SENSITIVE [DOC-LIST; fetched 2026-06-10],https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. NEW vs N/M: sens page: SAFE CU 'denied with 25 in the past 24 months'.
SMBC MANUBANK,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
San Diego County Credit Union (SDCCU),"Yes — uses/furnishes (own FAQ 'bad credit or ChexSystems list... visit a branch' + hosts Chex dispute form, 2026-06-09) [v6 existing cell]",—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Existing cell stands; EWS searched 2026-06-10 — no data.
Savings Bank of Mendocino County,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
SchoolsFirst Federal Credit Union,"Yes — VERIFIED own product pages: 'ChexSystems verification and $25 minimum opening deposit required' (Free Checking, Investment Checking; Liquid Advantage MM = Chex + $2,000) [VERIFIED (own site); 2026-06-12]",https://www.schoolsfirstfcu.org/products/checking-savings/checking/free-checking/,No screening evidence — only Zelle (EWS-owned product) infrastructure on site [searched 2026-06-12; UNKNOWN],—,UNKNOWN,—,UNKNOWN,—,P2 UPGRADE vs UNKNOWN — own-site VERIFIED Chex. Education FOM gate still applies. v7 chex_socal_cus. ❓ UNKNOWN — no biz card; note only. v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Self-Help Federal Credit Union,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Shinhan Bank America,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Skyla Credit Union,Membership: YES — pulls ChexSystems (CONFIRMED: own learning-guidance page + FAQ: 'a hard inquiry is conducted... ChexSystems is used as a credit check for account applications'); document-heavy UW; 2025 BBB complaints re hard pulls | BUSINESS: UNKNOWN — all apps are hard pulls; biz deposit-screen presumably same Chex [2026-05-22 (EWS-clean); 2026-06-11 (Chex confirmed own docs)],https://www.skylacu.com/learning-guidance/understanding-checking-accounts,Membership: No — EWS-CLEAN (Dealgamer 2026-05-22 'doesn't report and no inquiry') | BUSINESS: UNKNOWN [2026-05-22 (EWS-clean); 2026-06-11 (Chex confirmed own docs)],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,UNKNOWN,—,UNKNOWN,—,v7 chex_socal_cus. ⚠ PULLS-ONE (Chex CONFIRMED) / EWS-clean — Chex question now CLOSED. v6 ews_chex_mapping. NEW vs N/M: Skyla on Dealgamer 2026-05-22 'doesn't report and no inquiry' EWS list = EWS-CLEAN. Chex unknown — GOLD-TIER CANDIDATE pending Chex verification.
"SoFi Bank, N.A.",UNKNOWN,—,Yes — does an inquiry (Dealgamer 2026-05-22 list; 'SOFI LENDING CORP via GIACT SERVICES' DPs) [COMMUNITY-DP; 2026-05-22],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,UNKNOWN,—,GIACT Services (linking/verification rail) [COMMUNITY-DP],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/,SF-HQ national bank. EWS inquiries on open + GIACT on linking.
Southland CU,Membership: YES — pulls ChexSystems (own site: 'All new accounts are verified through ChexSystems') | BUSINESS: YES — same ChexSystems language explicitly covers business accounts ('All new accounts...both personal and business'); business account application screened [2026-06-11 (own site)],https://www.southlandcu.org/join/open-new-account/,Membership: UNKNOWN | BUSINESS: UNKNOWN [2026-06-11 (own site)],https://www.southlandcu.org/join/open-new-account/,UNKNOWN,—,UNKNOWN,—,v7 chex_socal_cus. ❌ BOTH-PULL (Chex confirmed personal+business); no two-step bypass.
Southwestern National Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Stanford FCU,Membership: UNKNOWN — membership = hard EXPERIAN pull (consumer-proxy DPs myFICO 6726623/6723581/6036159); Chex-specific use unconfirmed; DoC checking-bonus DPs hint screening but type unconfirmed | BUSINESS: UNKNOWN — biz Visa is self-issued (own disclosure); biz card app = Business Loan Application + PFS (hard pull); Chex on biz checking unconfirmed [2026-06-11 (product VERIFIED LIVE); EX-pull DPs 2024-era],https://www.sfcu.org/business/business-credit-card,Membership: UNKNOWN | BUSINESS: UNKNOWN [2026-06-11 (product VERIFIED LIVE); EX-pull DPs 2024-era],https://www.sfcu.org/business/business-credit-card,UNKNOWN,—,UNKNOWN,—,v7 chex_socal_cus. ❓ UNKNOWN — self-UW biz Visa $50K confirmed; deposit-screen type open.
Star One Credit Union,Pull: Yes [DOC-LIST; 2025-08-07],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. DoC: Star One does pull (3).
State Bank of India (California),Pull: Yes (NOT sensitive) [DOC-LIST; 2025-08-07],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. DoC: State Bank of India does pull (1); sens page: approved with high counts. DoC entry may be SBI NY — apply with caution to SBI California.
Summit Bank (Oakland),UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Summit State Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"Sunflower Bank, N.A.",Pull: Yes [DOC-LIST; 2025-08-07],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. DoC: Sunflower Bank does pull (4).
Sunwest Bank,"Consumer: UNKNOWN — no DPs; site 'early warning' text = fraud-alert copy, NOT EWS agency (v6 verified) | BUSINESS: UNKNOWN — online biz opener exists (EIN + docs) but screening vendor undisclosed; site 403-blocks robots [2026-06-11 (searched, no data)]",https://www.sunwestbank.com/banking/business/business-checking/ (403),"Consumer: UNKNOWN | BUSINESS: UNKNOWN [2026-06-11 (searched, no data)]",https://www.sunwestbank.com/banking/business/business-checking/ (403),UNKNOWN,—,UNKNOWN,—,v7 chex_socal_banks (business angle). ❓ UNKNOWN — ask. v6 ews_chex_mapping. Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
"TIB, N.A. (The Independent BankersBank)",UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Technology Credit Union (Tech CU),Pull: Yes (4 DPs; NOT sensitive — 25+/12 OK) [DOC-LIST + COMMUNITY-DP; 2016-10-21],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,Pull: No (2016 DP) [DOC-LIST + COMMUNITY-DP; 2016-10-21],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-308348,UNKNOWN,—,UNKNOWN,—,"v6 ews_chex_mapping. NEW vs N/M: Tech CU pulls ONLY Chex, not EWS (CGID 2016-10-21). Old DP — re-verify EWS."
"The Bank of New York Mellon Trust Company, N.A.",UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
The Northern Trust Company,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Together Credit Union,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Travis Credit Union,Pull: Yes [DOC-LIST; 2025-08-07],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. DoC Chex: Travis CU does pull (1).
Tri Counties Bank,"Consumer: Yes-SOFT — VERIFIED own online-account FAQ: 'We perform a soft inquiry through ChexSystems, which does not impact your credit score' | BUSINESS: UNKNOWN — business checking is BRANCH-ONLY (no online biz opener); soft-Chex FAQ statement covers online PERSONAL accounts only; no biz DP [2026-06-11 (FAQ verified v6 2026-06-10)]",https://www.tcbk.com/personal/online-accounts-personal,Consumer: UNKNOWN — no mention/DPs (lean-no) | BUSINESS: UNKNOWN [2026-06-11 (FAQ verified v6 2026-06-10)],https://www.tcbk.com/personal/online-accounts-personal,UNKNOWN,—,UNKNOWN,—,"v7 chex_socal_banks (business angle). ⚠ pulls one (Chex consumer SOFT; biz screening unconfirmed). v6 ews_chex_mapping. NEW vs N/M: Tri Counties Bank online-account FAQ: 'We perform a soft inquiry through ChexSystems, which does not impact your credit score.'"
Truist,Yes — personal (DoC 2025-08-07; ~2026-03 DP); one DP: business in-branch SKIPPED Chex (2025-10-17) [DOC-LIST + COMMUNITY-DP; 2026-05-22],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,Yes — pulls (EWS co-owner; predecessor biz DP 2019-01-12; DP 2026-05-22) [DOC-LIST + COMMUNITY-DP; 2026-05-22],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. EWS: inquiry + reports ACH incl. balance (2026-05-22); CB 2024-03-27: Truist/BB&T hit EWS TWICE for one app. CONFIRMS existing cells.
Tustin Community Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
U.S. Bank (direct),"Yes — pulls, incl. business (Chex-report DP 2025-05/2026-05-08; biz DP 2025-10-17, not sensitive) [DOC-LIST + COMMUNITY-DP; 2026-05-22]",https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,Yes — pulls (EWS co-owner; 'US Bank & Elan' inquiries DP 2026-05-22) [DOC-LIST + COMMUNITY-DP; 2026-05-22],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,Yes — soft-pulls SageStream (now LexisNexis Risk Solutions); can DENY on it; freeze before applying [COMMUNITY-DP/project-fact; 2026-06],https://ficoforums.myfico.com/t5/Business-Credit/ (Triple Cash DPs; v7 funding table row 'U.S. Bank'),"ARS (Advanced Resolution Services, CBC/Innovis affiliate) — soft-pulled alongside SageStream; can deny [COMMUNITY-DP/project-fact; 2026-06]",/home/user/awake/research/v7/deliverables/ca_business_credit_funding_v7_funding_table.csv,"P2: DoC article 'Two Credit Bureaus You Should Freeze Before You Apply For A U.S Bank Credit Card' (2015-05-26, since updated): SageStream (ex-IDA, now LexisNexis Risk Solutions) + ARS (Advanced Resolution Services, 5005 Rockside Rd, Independence OH); US Bank still approves when reports frozen/unavailable. Grade upgraded to DOC-LIST. https://www.doctorofcredit.com/two-credit-bureaus-you-should-freeze-before-you-apply-for-a-u-s-bank-credit-card/ PROJECT FACT: freeze SageStream+ARS before US Bank apps (soft-pulled, can deny). v6 ews_chex_mapping. EWS: 'US Bank & Elan' inquiry + reports ACH (2026-05-22). NOT Chex-inquiry-sensitive (DoC sens list). CONFIRMS existing cell."
"UMB Bank, N.A.",Consumer: Yes — DOC-LIST: DoC UMB $400 bonus page states 'ChexSystems: Yes' + 'Hard/soft pull: Soft pull' (consumer) | BUSINESS: UNKNOWN — bonus page personal-only; no biz DP found; commercial checking is RM/treasury channel [2026-06-11 (DoC page fetched)],https://www.doctorofcredit.com/az-co-il-mo-ne-ok-ks-tx-umb-bank-400-checking-bonus/,"Consumer: No mention on DoC page; not on DoC EWS list (lean-no, weak) | BUSINESS: UNKNOWN [2026-06-11 (DoC page fetched)]",https://www.doctorofcredit.com/az-co-il-mo-ne-ok-ks-tx-umb-bank-400-checking-bonus/,UNKNOWN,—,UNKNOWN,—,"v7 chex_socal_banks (business angle). ⚠ pulls one (Chex consumer, soft; biz unverified)."
US Metro Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Umpqua Bank (Columbia),UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,P2: web-searched 2026-06-12 — no public deposit agreement naming a vendor and no DoC/forum DPs found; all four columns remain UNKNOWN (never guess). v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
United Business Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
United Pacific Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Universal Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
University Credit Union (LA),UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Valley National Bank,"Yes — pulls (Crediful 2025-10-07); 2016 DoC DP: online sensitive, in-branch lenient [DOC-LIST + secondary; 2025-10-07]",https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Sens page: online denials at 3-27/12mo; in-branch more flexible. CONFIRMS existing cell. Open IN BRANCH.
Valley Strong CU,"Membership: SOFT pull at membership/checking (DoC checking-bonus page, CA select counties) | BUSINESS: UNKNOWN — biz cards self-issued (CFPB agreement DB lists Valley Strong as own issuer); biz Share Savings $5 open; deposit-screen type unconfirmed (site 403s) [2026-06-10 (soft-pull DoC); 2026-06-11]",https://www.doctorofcredit.com/?s=valley+strong,Membership: UNKNOWN | BUSINESS: UNKNOWN [2026-06-10 (soft-pull DoC); 2026-06-11],https://www.doctorofcredit.com/?s=valley+strong,UNKNOWN,—,UNKNOWN,—,v7 chex_socal_cus. 🥈 LIKELY-NO (membership) / ❓ biz-acct unknown.
"Varo Bank, N.A.",UNKNOWN,—,No — on Dealgamer 'doesn't report and no inquiry' list; older DPs show 'VARO MONEY via GIACT SYSTEMS' linking inquiries only [COMMUNITY-DP; 2026-05-22],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,UNKNOWN,—,GIACT Systems (linking verification) [COMMUNITY-DP],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/,SF-HQ national bank charter fintech.
WaFd Bank,"Yes — pulls (own Fresh Start page: 2nd-chance for paid-off non-fraud Chex records, 2026-06-09) [v6 existing cell]",—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Existing VERIFIED cell (own Fresh Start page) stands.
Wallis Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Water and Power Community Credit Union,Reports overdrawn accts to Chex (own FAQ 2026-06-10); screening N/M [v6 existing cell],—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Existing cell (own FAQ: reports overdrawn accounts to Chex) stands; screening still unknown.
Wells Fargo,"No — mostly (DoC 'mixed' 34-no vs 1-yes, 2025-08-07; DP 2026-04-14) [DOC-LIST + COMMUNITY-DP; 2026-05-22]",https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,"Yes — pulls (EWS co-owner; BIZ app hits owner's EWS, DP 2019-01-12) [DOC-LIST + COMMUNITY-DP; 2026-05-22]",https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. DoC Chex mixed 34-no/1-yes. EWS: inquiry + reports ACH incl. balance (2026-05-22); biz app hits owner EWS (2019 DP). CONFIRMS existing cell.
